name,state,method,model_family,scenario,seed,target_component,target_depth,AA,BWT,AF,FWT,trainable_params,total_params,mean_time_per_task_s,peak_gpu_mem_mb,target
cil_cord_cl_lora_seed123,finished,cl_lora,layoutlmv3,cil_cord,123,,,0.0,-35.942295635833275,35.942295635833275,-94.14632347512081,489277,125816253,1616.8456506356597,4813.203125,
cil_cord_cl_lora_seed42,finished,cl_lora,layoutlmv3,cil_cord,42,,,13.846153846153845,-36.810165992771665,36.810165992771665,-94.14632347512081,489277,125816253,1306.2426098534372,4813.203125,
cil_cord_cl_lora_seed7,finished,cl_lora,layoutlmv3,cil_cord,7,,,12.914798206278027,-35.95011992343738,35.95011992343738,-94.14632347512081,489277,125816253,1822.7890530418604,4813.203125,
cil_cord_coda_prompt_seed123,finished,coda_prompt,layoutlmv3,cil_cord,123,,,0.0,-19.339933993399338,19.339933993399338,-94.14632347512081,100669,125373885,1807.8057162008015,3676.43896484375,
cil_cord_coda_prompt_seed42,finished,coda_prompt,layoutlmv3,cil_cord,42,,,0.0,-14.918919752134908,14.918919752134908,-92.27716459661615,100669,125373885,697.2228164986125,3676.43896484375,
cil_cord_coda_prompt_seed7,finished,coda_prompt,layoutlmv3,cil_cord,7,,,0.0,-19.466403162055336,19.466403162055336,-94.14632347512081,100669,125373885,1807.7484638896071,3676.43896484375,
cil_cord_der_pp_seed123,finished,der_pp,layoutlmv3,cil_cord,123,,,18.46153846153846,-89.20167733911514,89.20167733911514,-94.14632347512081,125373885,125373885,242.90770302582533,35539.6943359375,
cil_cord_der_pp_seed42,finished,der_pp,layoutlmv3,cil_cord,42,,,17.870680044593087,-87.6951933541581,87.6951933541581,-94.14632347512081,125373885,125373885,356.2006018914282,35539.6943359375,
cil_cord_der_pp_seed7,finished,der_pp,layoutlmv3,cil_cord,7,,,18.128984284009658,-81.69000868456955,81.69000868456955,-94.14632347512081,125373885,125373885,296.2912002908997,35539.6943359375,
cil_cord_doccl_seed123,finished,doccl,layoutlmv3,cil_cord,123,,all,17.00993573586974,-84.8220629278495,84.8220629278495,-94.14632347512081,125373885,125373885,2516.7026206638197,5014.66357421875,all
cil_cord_doccl_seed123_head_only,finished,doccl,layoutlmv3,cil_cord,123,,head_only,17.644377606033256,-80.22834212795567,80.22834212795567,-94.14632347512081,125373885,125373885,743.1315922392066,19331.04541015625,head_only
cil_cord_doccl_seed123_late_only,finished,doccl,layoutlmv3,cil_cord,123,,late_only,19.68215081801741,-78.14541623373819,78.14541623373819,-94.14632347512081,125373885,125373885,945.8555998856434,19331.04541015625,late_only
cil_cord_doccl_seed123_uniform,finished,doccl,layoutlmv3,cil_cord,123,,uniform,12.308479629753242,-28.60493043335481,28.60493043335481,-94.14632347512081,125373885,125373885,505.1592953091953,19331.052734375,uniform
cil_cord_doccl_seed42,finished,doccl,layoutlmv3,cil_cord,42,,all,16.104149152997564,-81.86241864557621,81.86241864557621,-94.14632347512081,125373885,125373885,2725.4855079846225,5014.66357421875,all
cil_cord_doccl_seed42_head_only,finished,doccl,layoutlmv3,cil_cord,42,,head_only,16.363126210038082,-84.04881843186054,84.04881843186054,-94.14632347512081,125373885,125373885,1057.0088163651992,19331.04541015625,head_only
cil_cord_doccl_seed42_late_only,finished,doccl,layoutlmv3,cil_cord,42,,late_only,17.53280506638766,-76.6395062002845,76.6395062002845,-94.14632347512081,125373885,125373885,1015.8092019273433,19331.04541015625,late_only
cil_cord_doccl_seed42_uniform,finished,doccl,layoutlmv3,cil_cord,42,,uniform,10.819712453515269,-29.87067894735126,29.87067894735126,-94.14632347512081,125373885,125373885,484.0273659394123,19331.052734375,uniform
cil_cord_doccl_seed7,finished,doccl,layoutlmv3,cil_cord,7,,all,15.210226397659017,-71.1820894754502,71.1820894754502,-94.14632347512081,125373885,125373885,1880.3111076087691,5014.66357421875,all
cil_cord_doccl_seed7_head_only,finished,doccl,layoutlmv3,cil_cord,7,,head_only,17.269171673118432,-84.46036112071413,84.46036112071413,-94.14632347512081,125373885,125373885,727.5002526755677,19331.04541015625,head_only
cil_cord_doccl_seed7_late_only,finished,doccl,layoutlmv3,cil_cord,7,,late_only,16.43275273391561,-70.97024878660662,70.97024878660662,-94.14632347512081,125373885,125373885,729.7840292549924,19331.04541015625,late_only
cil_cord_doccl_seed7_uniform,finished,doccl,layoutlmv3,cil_cord,7,,uniform,14.386161813062397,-20.1654528282617,20.1654528282617,-94.14632347512081,125373885,125373885,410.2104837243678,19331.052734375,uniform
cil_cord_dualprompt_seed123,finished,dualprompt,layoutlmv3,cil_cord,123,,,3.3115468409586057,-14.683713392884966,14.683713392884966,-94.14632347512081,55357,125373885,660.5082038458437,16845.4296875,
cil_cord_dualprompt_seed42,finished,dualprompt,layoutlmv3,cil_cord,42,,,0.0,-15.144300144300141,15.144300144300141,-93.60657862723073,55357,125373885,272.69880487639455,16845.4296875,
cil_cord_dualprompt_seed7,finished,dualprompt,layoutlmv3,cil_cord,7,,,2.0316027088036117,-15.67241714379681,15.67241714379681,-94.14632347512081,55357,125373885,518.3393000070937,16845.4296875,
cil_cord_er_cflat_seed123,finished,er_cflat,layoutlmv3,cil_cord,123,,,16.959071043540536,-74.70479352699263,74.70479352699263,-94.14632347512081,125373885,125373885,1003.0606370485621,5621.8212890625,
cil_cord_er_cflat_seed42,finished,er_cflat,layoutlmv3,cil_cord,42,,,14.16736277955811,-72.98145319209434,72.98145319209434,-94.14632347512081,125373885,125373885,1048.1869043361628,5621.8212890625,
cil_cord_er_cflat_seed7,finished,er_cflat,layoutlmv3,cil_cord,7,,,16.64826047312413,-71.98885056037557,71.98885056037557,-94.14632347512081,125373885,125373885,1070.7383705474435,5621.8212890625,
cil_cord_er_seed123,finished,er,layoutlmv3,cil_cord,123,,,16.583350465568493,-72.20299526403903,72.20299526403903,-94.14632347512081,125373885,125373885,199.3544190570712,27144.08349609375,
cil_cord_er_seed42,finished,er,layoutlmv3,cil_cord,42,,,16.936123313306407,-64.32103493663136,64.32103493663136,-94.14632347512081,125373885,125373885,152.8835683283396,27144.08349609375,
cil_cord_er_seed7,finished,er,layoutlmv3,cil_cord,7,,,14.43041612306358,-68.43662657991756,68.43662657991756,-94.14632347512081,125373885,125373885,171.18194729145617,27144.08349609375,
cil_cord_ewc_seed123,finished,ewc,layoutlmv3,cil_cord,123,,,0.2797202797202797,-63.35531582098167,63.35531582098167,-94.14632347512081,125373885,125373885,285.3771714080125,20386.373046875,
cil_cord_ewc_seed42,finished,ewc,layoutlmv3,cil_cord,42,,,1.1111111111111112,-43.0850338081069,43.0850338081069,-94.14632347512081,125373885,125373885,210.1825982590206,20386.373046875,
