method,scenario,7,42,123,mean,std
bert_textonly,cil_cord,-93.95555202373384,-92.73031141969705,-93.88608553585625,-93.52398299309571,0.6882167703931303
bert_textonly,cil_wildreceipt,-76.66392366574605,-76.11653331361579,-76.65080427169381,-76.47708708368522,0.31231761951342735
bert_textonly,dil,-59.69396316695021,-59.69718541432082,-60.29236487186464,-59.89450448437856,0.3445609694487492
bert_textonly,dil_xlingual,-5.718177815738972,-7.024226060976668,-7.063643849906969,-6.602015908874203,0.7656799407577092
bert_textonly,mixed,-62.123867758905966,-59.84760383080602,-61.86318876267431,-61.278220117462105,1.2457871425341107
cl_lora,cil_cord,-35.95011992343738,-36.810165992771665,-35.942295635833275,-36.234193850680775,0.49882184817598607
cl_lora,dil,-60.96701813092568,-58.768087799652974,-56.690943272212834,-58.808683067597165,2.138326455703997
cl_lora,mixed,-61.3551587815828,-61.761659538592106,-61.40871165704266,-61.508509992405855,0.22086307334688882
coda_prompt,cil_cord,-19.466403162055336,-14.918919752134908,-19.339933993399338,-17.90841896919653,2.5897543878260274
coda_prompt,cil_wildreceipt,-8.751625047754343,-33.82534389930072,-11.73724842471862,-18.104739123924563,13.696041311815383
coda_prompt,dil,-10.475421455080083,-10.705158266914454,-10.29069726295706,-10.490425661650532,0.20763748604587087
coda_prompt,dil_xlingual,-1.1006425801171957,-3.5626741208122574,-0.583030118590484,-1.7487822731733125,1.592053199890068
coda_prompt,mixed,-6.517012581004643,-4.400817474049245,-6.744798283415126,-5.887542779489671,1.292569410876397
der_pp,cil_cord,-81.69000868456955,-87.6951933541581,-89.20167733911514,-86.19562645928092,3.97401775890337
der_pp,cil_wildreceipt,-83.55331810728677,-84.58900071972782,-83.71228086115134,-83.95153322938864,0.5577552242772343
der_pp,dil,-5.362851052063,-2.945947694086506,-1.9509534609085009,-3.419917402352669,1.7546357902416394
der_pp,dil_xlingual,0.3411185632764884,-0.05850447943721093,1.3632093472162943,0.5486078103518572,0.7332164700573535
der_pp,mixed,-32.34330666039297,-34.867699551344074,-37.17906023192689,-34.79668881455464,2.4186587284495724
doccl,cil_cord,-61.69453805275816,-68.10535555626812,-67.95018793072454,-65.91669384658361,3.657317173626666
doccl,cil_wildreceipt,-82.49462393717188,-81.97828744356038,,-82.23645569036613,0.3651050360067793
doccl,dil,-2.537113238792714,-4.772053257629174,-5.453151774011282,-4.25410609014439,1.5254580085826832
doccl,dil_xlingual,-1.0771378606877064,0.5699856613359344,-0.4971626458793459,-0.3347716150770393,0.8354831592346237
doccl,mixed,-28.7102994595114,-16.352237567475697,-36.10318937523065,-27.055242134072586,9.978949613608195
dualprompt,cil_cord,-15.67241714379681,-15.144300144300141,-14.683713392884966,-15.166810226993974,0.49473609594808193
dualprompt,cil_wildreceipt,-4.656511523691841,-6.1638522365684265,-5.791771197869657,-5.537378319376642,0.7852106778723751
dualprompt,dil,-11.123677714875976,-11.238888850139817,-10.795708877648341,-11.052758480888045,0.22994406997455416
dualprompt,dil_xlingual,-1.2579279144110247,3.968345176444167,-1.4289826934206036,0.4271448562041796,3.0679618177882113
dualprompt,mixed,-2.864443179792234,-1.0465973109462046,-3.867577339727309,-2.5928726101552493,1.4299632902334163
er,cil_cord,-68.43662657991756,-64.32103493663136,-72.20299526403903,-68.32021892686265,3.942269360022779
er,cil_wildreceipt,-79.25391622551926,-78.1483724219818,-80.6718579094866,-79.35804885232922,1.2649614438339976
er,dil,-1.7964737891945646,-5.133080557602845,-1.4056834298154257,-2.7784125922042784,2.0485422125749784
er,dil_xlingual,1.6730763397394668,1.0174407369631666,1.9675693766749944,1.5526954844592094,0.48636896564096976
er,mixed,-30.834823136161468,-17.151509772039603,-22.59906090286311,-23.52846460368806,6.88883949475667
er_cflat,cil_cord,-71.98885056037557,-72.98145319209434,-74.70479352699263,-73.22503242648752,1.3742578659224944
er_cflat,dil,-1.95925332996989,-2.26089980378206,-1.1558714479631789,-1.792008193905043,0.5711830866228067
er_cflat,mixed,-16.86748063640147,-24.108291998557345,-24.44827160976286,-21.808014748240556,4.282003563367631
ewc,cil_cord,-58.109348121433996,-43.0850338081069,-63.35531582098167,-54.84989925017419,10.520888195805346
ewc,cil_wildreceipt,-61.44199714210967,-60.470136164970604,-72.27653463785084,-64.72955598164371,6.553914369875151
ewc,dil,-2.581714413026657,-3.994111946765395,-1.8564022679757075,-2.8107428759225868,1.0871022009499067
ewc,dil_xlingual,0.12423721769201101,0.18530538461999235,-29.134996940472874,-9.608484779386957,16.91048314546424
ewc,mixed,-11.876429903953197,-6.6467474651405265,-6.8198420145194785,-8.447673127871068,2.970651477858521
joint,cil_cord,0.0,0.0,0.0,0.0,0.0
joint,cil_wildreceipt,0.0,0.0,0.0,0.0,0.0
joint,dil,0.0,0.0,0.0,0.0,0.0
joint,dil_xlingual,0.0,0.0,0.0,0.0,0.0
joint,mixed,0.0,0.0,0.0,0.0,0.0
l2p,cil_cord,-16.063186000337918,-14.157893024598732,-17.02473262032085,-15.748603881752501,1.4590797609796076
l2p,cil_wildreceipt,-5.132399418331221,-6.787507000580998,-7.118599637818824,-6.346168685577015,1.0641111122392566
l2p,dil,-11.524169584238145,-11.50909929331221,-11.418558631878282,-11.48394250314288,0.05712325606359533
l2p,dil_xlingual,-1.1858021503051224,4.898763794893282,-1.2793997689868868,0.8111872918670908,3.5402544230075597
l2p,mixed,-2.2672486441544093,-1.7069329991335505,-4.56682266401635,-2.847001435768103,1.5155286860906876
lexslot,dil,-2.1049111225722115,-1.8680840608631275,-3.574043590253453,-2.5156795912295973,0.9241874972708544
lwf,cil_cord,-93.52190146462102,-93.12162600832892,-94.49323416921857,-93.71225388072283,0.7053387615122397
lwf,cil_wildreceipt,-85.15778276361804,-85.64344207766766,-84.99455107388856,-85.26525863839142,0.3375324894585532
lwf,dil,-67.24351050127635,-70.70560882729875,-69.32930483222007,-69.09280805359839,1.7431234177434485
lwf,dil_xlingual,-6.8019662511997865,-4.93968025373529,-6.075211177547747,-5.938952560827608,0.938590481552497
lwf,mixed,-67.539115320039,-66.93853473871167,-64.8313512589294,-66.43633377256002,1.422023526690723
naive,cil_cord,-93.69623880470445,-93.81168233927477,-93.65074917784685,-93.71955677394203,0.08296183688190308
naive,cil_wildreceipt,-84.81430867760339,-85.1981480791723,-83.51574323419877,-84.50939999699149,0.8816736886354127
naive,dil,-71.00633014456328,-74.98909082240792,-73.25932936743493,-73.08491677813538,1.9971005151784427
naive,dil_xlingual,-5.375354825613783,-7.058702680416673,-7.289720409271077,-6.5745926384338444,1.0449740650056079
naive,mixed,-66.82421304034838,-66.49637539991892,-67.35998047997812,-66.89352297341514,0.4359545087417996
naive,single_cord,0.0,0.0,0.0,0.0,0.0
naive,single_funsd,0.0,0.0,0.0,0.0,0.0
naive,single_sroie,0.0,0.0,0.0,0.0,0.0
naive,single_wildreceipt,0.0,0.0,0.0,0.0,0.0
naive,single_xfund,0.0,0.0,0.0,0.0,0.0
o_lora,cil_cord,-32.63347840882632,-36.194448501586706,-39.262158560959364,-36.03002849045746,3.317397412862294
o_lora,cil_wildreceipt,-73.63600813430126,-74.94420660272185,-74.76216739343249,-74.44746071015187,0.7086085171451223
o_lora,dil,-56.89362665885718,-55.77410490731053,-57.82439415776274,-56.830708574643474,1.0265916990804145
o_lora,dil_xlingual,-17.594910156607845,-12.31132072989721,-16.414451135279727,-15.440227340594928,2.773249593727482
o_lora,mixed,-16.996178009960435,-19.2518845732331,-20.34981507997031,-18.865959221054613,1.7098023811033454
