method,scenario,7,42,123,mean,std
bert_textonly,cil_cord,-94.14632347512081,-94.14632347512081,-94.14632347512081,-94.14632347512081,0.0
bert_textonly,cil_wildreceipt,-85.18800858594388,-85.18800858594388,-85.18800858594388,-85.18800858594388,0.0
bert_textonly,dil,-82.61835009003495,-78.63892109332235,-81.87683797813028,-81.0447030538292,2.1161994670045736
bert_textonly,dil_xlingual,-50.33528863879492,-51.02574684361053,-50.38169963411749,-50.580911705507646,0.3859368085450843
bert_textonly,mixed,-88.82116391816982,-88.82116391816982,-88.82116391816982,-88.82116391816982,0.0
cl_lora,cil_cord,-94.14632347512081,-94.14632347512081,-94.14632347512081,-94.14632347512081,0.0
cl_lora,dil,-86.89837745316856,-84.3461516017655,-86.48983224566177,-85.91145376686528,1.3708958558890372
cl_lora,mixed,-88.82116391816982,-88.8195594255906,-88.810415082627,-88.81704614212913,0.0057984318310937925
coda_prompt,cil_cord,-94.14632347512081,-92.27716459661615,-94.14632347512081,-93.52327051561925,1.0791593816628464
coda_prompt,cil_wildreceipt,-84.04491612784716,-84.82600039312688,-83.28509194575128,-84.05200282224177,0.7704786672753843
coda_prompt,dil,-78.42700316137257,-78.75554057497939,-79.86245748806877,-79.01500040814024,0.7520783435092415
coda_prompt,dil_xlingual,-65.0627663256748,-65.05309226652376,-63.47139105296287,-64.5290832150538,0.9160010530379152
coda_prompt,mixed,-88.37305291949296,-88.3831468858895,-87.62906765465462,-88.12842248667903,0.432483419611663
colar,dil,-86.29454945341813,-86.28756917651397,-84.99782038242289,-85.859979670785,0.7466600029117715
colar_adaptive,dil,-86.2606155176356,-84.87169444064438,-83.58061221454653,-84.90430739094217,1.3402992686476483
colaslot_fd,dil,,-84.70381827765874,,-84.70381827765874,
colaslot_fda,dil,,-85.0827604438339,,-85.0827604438339,
colaslot_fdp,dil,,-84.70381827765874,,-84.70381827765874,
colaslot_proto,dil,,-84.70640294443501,,-84.70640294443501,
colaslot_proto_u,dil,,-84.70381827765874,,-84.70381827765874,
colaslot_ra,dil,,-84.90216444392573,,-84.90216444392573,
colaslot_ro,dil,,-84.90216444392573,,-84.90216444392573,
colaslot_shadow,dil,,-84.70511147375274,,-84.70511147375274,
colaslot_shadow_replay,dil,-86.47395582577738,-85.53291664412292,-85.08151962449038,-85.69613069813023,0.7104215398147542
colaslot_sidecar,dil,,-84.70381827765874,,-84.70381827765874,
colaslot_sidecar_late,dil,,-84.76811632749306,,-84.76811632749306,
der_pp,cil_cord,-94.14632347512081,-94.14632347512081,-94.14632347512081,-94.14632347512081,0.0
der_pp,cil_wildreceipt,-85.18800858594388,-85.18800858594388,-85.18800858594388,-85.18800858594388,0.0
